,title,url,review
0,The Survivalist,https://www.imdb.com/title/tt13694706/reviews?ref_=ttls_li_tt,"It's day 592 of Covid-19 Delta and the world has collapsed. Uninfected people were rounded up in camps which ended in disaster. The cities are devastated and bands of pirates are headed out into the country. Aaron (John Malkovich) leads one group searching for a young woman assumed to be immune. She finds a protector in Ben (Jonathan Rhys Meyers).This is a low budget affair. Somebody found a location with a few buildings. They slap-dashed some stuff. Worst still, they slap-dashed a script. The biggest mistake is using the real world situation. They need to use a fictional virus so that they can create a fictional world. It's more than the worlds not matching. They can't possibly get the science right. They need a fictional virus to create movie-logic of their own. The directing is pretty bad. There are a few good actors here who probably had projects canceled on them and needed the work during the pandemic. Malkovich is trying his best but the camera work is bad. It's all pretty bad except for the professional actors working."
1,The Addams Family 2,https://www.imdb.com/title/tt11125620/reviews?ref_=ttls_li_tt,"Wednesday uses Uncle Fester in her experiment for a science fair run by Cyrus Strange. Morticia and Gomez take the family on a road trip and Wednesday is not too happy. Cyrus Strange now claims to be her biological father in a switched-at-birth accident. Gomez tries to stay ahead of Strange's lawyer and keep it secret from Wednesday.I do love these characters but I also wonder if most of that love comes from the live action movies. I do wish that they use some of the live action actors for the voices. As for this story, it's good to center it on Wednesday but it does make the rest of the family more like supporting characters. The better drama is probably Wednesday being kidnapped and the family working together to rescue her. For this movie, the middle meanders around. Their stops are rather random. They go to Niagara Falls instead of Salem. It's not the best choice. I do like the fish-out-of-water aspect of going to Miami beach. This seems to be trying to be Vacation or something. It's not really that good but I still love these characters."
2,Witch Hunt,https://www.imdb.com/title/tt10160974/reviews?ref_=ttls_li_tt,"Martha (Elizabeth Mitchell) lives in southern California with her family and is part of an underground railroad to smuggle witches into Mexico. Witches and witchcraft is outlawed in the United States in this alternate reality. The film centers on Claire (Gideon Adlon) her teen daughter who helps her out.The witches are mostly all red heads. If Mexico is willing to give them asylum, the insanity of hunting and killing them as they attempt to reach the southern border seems a bit inane. Clearly this is a film that is attempting to make a statement about modern prejudices, but the metaphor wasn't complete. What they really needed was a witch hunter with some character and lines like Vin Diesel.Guide: No swearing, sex, or nudity. Seems to be aimed at teen girls."
3,American Night,https://www.imdb.com/title/tt5344054/reviews?ref_=ttls_li_tt,"This film start with a man having his package to deliver, and he promise the job to be done scene! As turnout, this film is about two men(John, and Michael) get killed because of the same painting they pursue! Entire film full of boring conversation, and annoying overuse scene! Such as, overuse of the walking scene, overuse of the staring scene, overuse of the blackout scene, overuse of the drinking scene, overuse of the arguing scene, overuse of the calling names scene, overuse of the driving scene, overuse of the talking on the phone scene, overuse of the kissing scene, overuse of the sleeping scene, and overuse of the flashbacks scene! Make the film unwatchable! At the end, Sarah receive the original painting after the death of John! Still have post credit scene! Sarah been followed! That's it! Wasting time to watch!"
4,Space Jam: A New Legacy,https://www.imdb.com/title/tt3554046/reviews?ref_=ttls_li_tt,"LeBron James worked hard to be the greatest and he's not about to let his son Dom be a slacker. Instead of basketball, Dom only wants to be a video game designer. WB's new computer algorithm Al G. Rhythm (Don Cheadle) wants to use LeBron's popularity to dominate the social media space. After LeBron rejects the offer, Al G. Rhythm kidnaps LeBron and Dom into the computer world. LeBron has to play a basketball game to win freedom for himself and his son. LeBron is sent to Tune World where he finds a lonely Bugs Bunny.LeBron is a functional actor and I like the older style Looney Tunes cartoon world. I love the Michael B. Jordan bit. I like some bits in this movie but it's way too long and too much of this is below par. The best part of this movie is Bugs Bunny in his Looney Tunes world and then they go off to various franchises to search for the rest of his friends. I like all of that. I like the animation style. Quite frankly, an animated LeBron James allows him off the hook for his acting. His voice is unique and works well for animation. Turning him in cartoon is a good thing. He doesn't have to act. He should stay a cartoon until he wins the game.His son Dom is a big problem. He's a brat. The excuse is that he gets enticed by Al G. Rhythm but it's a sorry excuse. At no point is he concerned about being in a computer simulation or about his father. The solution lies in Al turning Dom into a monster. When LeBron has his big emotional speech, Dom can slowly turn back into a boy looking to hug his father. That is much better characterization and progression in his story arc.Finally, this movie is hella busy and way too long. It is almost two hours long. The game is almost an hour long. They need to cut out at least fifteen minutes if not more. There is so much chaotic action that the long game section grows tiresome. People are excusing this for being a kids movie. Some of these references are going right over those kids' heads. They are not going to get A Clockwork Orange. For people who get all the references, this is bad for them. For kids who don't get the references, there's no point to it. This movie has fun bits. I love the Looney Tunes animation section. I don't like them digitized into computer animated. The plot is bad simplistic writing. The father son conflict could have been done better. This is way too long and that pushed me over the edge."
5,Escape Room 2,https://www.imdb.com/title/tt9844522/reviews?ref_=ttls_li_tt,"Zoey Davis (Taylor Russell) is on a mission to take down Minos and Ben Miller (Logan Miller) is willing to support her at all cost despite his panic attacks. As they pursue the investigation, they get trapped in a subway car with four other escape room winners, Rachel Ellis (Holland Roden), Brianna Collier (Indya Moore), Nathan (Thomas Cocquerel), and Theo (Carlito Olivero). It's a tournament of champions. Behind the scenes, Claire (Isabelle Fuhrman) has been imprisoned by her puzzle making father (James Frain) after her mother gets killed in an escape room.I can buy the movie logic of the extravagant puzzle rooms. I don't like it but I can accept it. I can't accept how Zoey and Ben get trapped in the first place. It's completely unreasonable that no other civilian wouldn't just randomly walk onto that train car, even if Minos could trick all those winners into the same place. The other problem continues to be that nobody ever grabs a weapon into the next room. I do like the bank escape room. The beach escape room is too unstructured. The acid rain idea is too ridiculous. All in all, there is some fun in an otherwise ridiculous escapist franchise."
6,Six Minutes to Midnight,https://www.imdb.com/title/tt5114840/reviews?ref_=ttls_li_tt,"In 1939, Thomas Miller teaches English at the Augusta Victoria College at Bexhill. It is a school of German girls. Miller (Eddie Izzard ) is a British agent making sure Judi Dench is running a legitimate school. It is clear that the girls are being indoctrinated in Nazi rhetoric about the races since they are the daughters of the Nazi high command.This is an interesting story. Light on building characters.Guide: No swearing, sex, or nudity."
7,The Stand,https://www.imdb.com/title/tt1831804/reviews?ref_=ttls_li_tt,"It's a nine part TV adaptation of the Stephen King novel of good versus evil. It's not any better than the 1994 version. More money may have been spent but it's not better. The structure is more disjointed which leaves the characters less compelling. I don't like Whoopi Goldberg in this role. The last episode feels stretched out which leaves it without tension. After the climax, the series needs to end. It's an unnecessary update of this material. If it needs doing, it needs some better imagination to bring new life to the story."
8,Clarice,https://www.imdb.com/title/tt2177268/reviews?ref_=ttls_li_tt,"Overall this series is underwhelming, the storylines are disjointed and the subplots/tangents are unnecessary and distracting. The show tries way too hard to be 'Edgy', painting the main character as a psycho loose cannon who can do nothing right, which doesn't seem true to the character. A great premise that went wrong."
9,Broken Diamonds,https://www.imdb.com/title/tt6484398/reviews?ref_=ttls_li_tt,Very well acted. Hardships of mental illness thru the eyes of a very sensitive brother . Must see.
